name,ticker,platform,asset_class,currency,quantity,cost_price,current_price,market_value_cny,original_currency,original_value,fx_rate_to_cny,profit_loss_value,profit_loss_rate,segment
Apple Inc.,AAPL,老虎证券,权益,USD,80,178.50,225.30,130944.36,USD,18024.0,7.265,27200.16,26.22,投资
Microsoft Corp.,MSFT,老虎证券,权益,USD,40,372.00,441.20,128212.72,USD,17648.0,7.265,20109.52,18.6,投资
NVIDIA Corp.,NVDA,老虎证券,权益,USD,60,495.00,138.40,60328.56,USD,8304.0,7.265,-155441.94,-72.04,投资
Alphabet Inc.,GOOGL,老虎证券,权益,USD,50,138.20,176.80,64222.6,USD,8840.0,7.265,14021.45,27.93,投资
Amazon.com Inc.,AMZN,老虎证券,权益,USD,45,155.00,201.50,65875.39,USD,9067.5,7.265,15202.01,30.0,投资
Tesla Inc.,TSLA,老虎证券,权益,USD,30,242.00,189.60,41323.32,USD,5688.0,7.265,-11420.58,-21.65,投资
理想汽车,LI,老虎证券,权益,USD,150,28.50,24.80,27025.8,USD,3720.0,7.265,-4032.07,-12.98,投资
拼多多,PDD,老虎证券,权益,USD,40,118.00,142.30,41352.38,USD,5692.0,7.265,7061.58,20.59,投资
腾讯控股,00700:HK,老虎证券,权益,HKD,200,358.00,402.40,74846.4,HKD,80480.0,0.93,8258.4,12.4,投资
阿里巴巴-W,09988:HK,老虎证券,权益,HKD,300,92.50,78.30,21845.7,HKD,23490.0,0.93,-3961.8,-15.35,投资
美团-W,03690:HK,老虎证券,权益,HKD,150,128.00,142.60,19892.7,HKD,21390.0,0.93,2036.7,11.41,投资
小米集团-W,01810:HK,老虎证券,权益,HKD,500,16.80,21.45,9974.25,HKD,10725.0,0.93,2162.25,27.68,投资
贵州茅台,600519,国金证券,权益,CNY,10,1720.00,1538.00,15380.0,CNY,15380.0,1.0,-1820.0,-10.58,投资
宁德时代,300750,国金证券,权益,CNY,80,210.00,248.50,19880.0,CNY,19880.0,1.0,3080.0,18.33,投资
五粮液,000858,国金证券,权益,CNY,200,158.00,134.20,26840.0,CNY,26840.0,1.0,-4760.0,-15.06,投资
中国平安,601318,国金证券,权益,CNY,400,46.50,52.80,21120.0,CNY,21120.0,1.0,2520.0,13.55,投资
易方达蓝筹精选混合,005827,盈米基金,权益,CNY,8000,2.450,2.180,17440.0,CNY,17440.0,1.0,-2160.0,-11.02,投资
中欧医疗健康混合A,003095,盈米基金,权益,CNY,5000,2.800,1.920,9600.0,CNY,9600.0,1.0,-4400.0,-31.43,投资
招商中证白酒指数A,161725,盈米基金,权益,CNY,12000,1.250,0.980,11760.0,CNY,11760.0,1.0,-3240.0,-21.6,投资
广发纳斯达克100ETF联接A,270042,盈米基金,权益,CNY,6000,1.850,2.640,15840.0,CNY,15840.0,1.0,4740.0,42.7,投资
天弘余额宝货币,000198,盈米基金,货币,CNY,30000,1.000,1.000,30000.0,CNY,30000.0,1.0,0.0,0.0,投资
