case_id,review_case_kind,pattern_type,economic_asset_class,instrument_id,symbol,date_range_start,date_range_end,source_bar_hash,candidate_id,anchor_date,calibration_version,parameter_set_id,parameter_hash,visualization_path,identity_material_hash,identity_status
review_024b06864a69af139dc0,DETECTED_CANDIDATE,double_top,FIXED_INCOME,IBKR:15547844,IEF,2019-01-03,2022-04-18,e0a7f9d815856bfccd52d7a79efe79f4e6369ddf89baf5c778eea2fed08b8aed,pat_f07c7420c398f2e57127,,wp-us-double-reversal-development-v1,cal_e4284f08f58675eb0a5f,e4284f08f58675eb0a5f7f318d175e1220246cdfa265906df2b2dd007b73bffd,reports/pattern-review/review_024b06864a69af139dc0.svg,024b06864a69af139dc07c907884746634f6ed8812ae0c9b90306e38d7b4c8bf,VALID
review_0648e864d538822b39a2,DETECTED_CANDIDATE,double_top,EQUITY,IBKR:9579970,IWM,2019-01-18,2020-03-09,87f2c8af6f37027fd24d5cfb2827f3e8ee87bbacb53e878269c11148683c3090,pat_c2fbba895d68c74dbbe5,,wp-us-double-reversal-development-v1,cal_c9e225163e06a8295dc2,c9e225163e06a8295dc2be5096262705ab0d8523d6c3523773c6d9cd8a22da8f,reports/pattern-review/review_0648e864d538822b39a2.svg,0648e864d538822b39a22498e5e86680a8874f5b3f2ec2ead5adfce8876af913,VALID
review_0f022c854c57d36bc6d8,NEGATIVE_CONTROL_NO_DETECTION,ascending_triangle,EQUITY,IBKR:1520593,JPM,,2020-09-30,7b36de1a2f59c3ff6975e2492375bc797e750a4e98cb9e864b9118c34ea04e34,,2020-09-30,wp-us-ascending-triangle-development-v1,cal_b8616363e4acd36e4071,b8616363e4acd36e4071f8813d1c643406fbfd805b37a4b078eb58e04636dc1e,reports/pattern-review/review_0f022c854c57d36bc6d8.svg,0f022c854c57d36bc6d837ffe4866b67d613dde2a381e51c8c4b28d1c710a54c,VALID
review_0ff8c4f45e39104d21d1,DETECTED_CANDIDATE,double_bottom,EQUITY,IBKR:9579970,IWM,2019-02-07,2019-05-07,87f2c8af6f37027fd24d5cfb2827f3e8ee87bbacb53e878269c11148683c3090,pat_25a7c29c37101134d48e,,wp-us-double-reversal-development-v1,cal_5935687436cd34fcba41,5935687436cd34fcba41e21dbbfabdeceb0d5348e92abee0343d7de3a8d9b90f,reports/pattern-review/review_0ff8c4f45e39104d21d1.svg,0ff8c4f45e39104d21d150b59b96dcd8a84acb40501d5c6f5143b148adf05a50,VALID
review_12c1a35099b90abbbd4b,NEGATIVE_CONTROL_NO_DETECTION,breakdown,EQUITY,IBKR:272093,MSFT,,2019-09-30,026d08710b6250ee81dc6ac4ae0317a2026e9f08cd871e4cd5047d948eeb82b0,,2019-09-30,wp-us-level-break-development-v1,cal_7b379f52c730b743c9a3,7b379f52c730b743c9a314e38b9d3bf84bd0335632044ae6844e300bb577624b,reports/pattern-review/review_12c1a35099b90abbbd4b.svg,12c1a35099b90abbbd4b497dc6a7bf9765fc5bd2dd70781377bc37a74ee98a71,VALID
review_15494b5c92d52123561d,NEGATIVE_CONTROL_NO_DETECTION,breakdown,FIXED_INCOME,IBKR:15547816,LQD,,2019-09-30,23a3c496b6730bdf16647f28aeb4452e5de3f814dd710a53bd5ded504fc05796,,2019-09-30,wp-us-level-break-development-v1,cal_cc389e09689edfd91fa6,cc389e09689edfd91fa664e2c82f9962ebf2e4a916041fb6619bc9e7be44a650,reports/pattern-review/review_15494b5c92d52123561d.svg,15494b5c92d52123561d9dc9658982e65af916d46b4a60bdad58839ed0afa7b7,VALID
review_159cf9885d60b82a77d9,DETECTED_CANDIDATE,breakdown,EQUITY,IBKR:8719,JNJ,2019-05-29,2019-06-06,4aa4be3cb3ad52f73f5c75093ad2f35c50e01ddc375ceb26d77a1bef76258733,pat_ef2fba4383f7c860b067,,wp-us-level-break-development-v1,cal_7b379f52c730b743c9a3,7b379f52c730b743c9a314e38b9d3bf84bd0335632044ae6844e300bb577624b,reports/pattern-review/review_159cf9885d60b82a77d9.svg,159cf9885d60b82a77d9a5011efdaf07ddb2392e70482eab9627e0b972931fb6,VALID
review_1717b96bcc7c0a867e77,DETECTED_CANDIDATE,breakout,FIXED_INCOME,IBKR:15547851,SHY,2019-05-31,2022-02-10,bfc92f973086d1fb2efc5ff5ee1eebbcae96eaa5b569edbfb1ae74ab3ed59c36,pat_400620f8acc8c9ae829e,,wp-us-level-break-development-v1,cal_77204b512761817cbc2a,77204b512761817cbc2a5e3b3a5e956efac13fe9605639d3f35637422c7d44f6,reports/pattern-review/review_1717b96bcc7c0a867e77.svg,1717b96bcc7c0a867e7780b92325f5ec6e1c651ad1482ae7740648d29bcf5800,VALID
review_191ca5e496e695a48d86,DETECTED_CANDIDATE,double_top,FIXED_INCOME,IBKR:15547841,TLT,2018-12-20,2019-01-22,a229b6091c9f4ead506256015da1ed32851f3f614c96a40a520056ec3dd233b7,pat_6c968666d43bf57a4a05,,wp-us-double-reversal-development-v1,cal_e4284f08f58675eb0a5f,e4284f08f58675eb0a5f7f318d175e1220246cdfa265906df2b2dd007b73bffd,reports/pattern-review/review_191ca5e496e695a48d86.svg,191ca5e496e695a48d86a2af8a02e1b8e8dc12d7c4e92e37f844921c42245ae5,VALID
review_1af80f3ae1eb45cffd88,NEGATIVE_CONTROL_NO_DETECTION,rectangle,FIXED_INCOME,IBKR:15547851,SHY,,2019-09-30,bfc92f973086d1fb2efc5ff5ee1eebbcae96eaa5b569edbfb1ae74ab3ed59c36,,2019-09-30,wp-us-rectangle-development-v1,cal_ce0e5f3208eb2439d077,ce0e5f3208eb2439d0777939c406e75ed3eb37fa6bf523aa005adaa9aee9a534,reports/pattern-review/review_1af80f3ae1eb45cffd88.svg,1af80f3ae1eb45cffd886096fd0f2e3e8832b7de19f29b22aa2ca9c5eabf8337,VALID
